fid,cleabs,code_hydrographique,nature,toponyme,statut_du_toponyme,importance,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,statut,influence_de_la_maree,caractere_permanent,altitude_moyenne,referentiel_de_l_altitude_moyenne,mode_d_obtention_de_l_altitude_moy,precision_de_l_altitude_moyenne,hauteur_d_eau_maximale,mode_d_obtention_de_la_hauteur,commentaire_sur_l_objet_hydro
"22",PLANDEAU0000000040207644,06P0000000040207644,Lac,Baisse des Pluviers,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"23",PLANDEAU0000000040207645,06P0000000040207645,Lac,Baisse des Courlis,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"24",PLANDEAU0000000040207646,06P0000000040207646,Lac,Baisse des Aigrettes,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"25",PLANDEAU0000000040207647,06P0000000040207647,Lac,Baisse Salée,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"26",PLANDEAU0000000040207648,06P0000000040207648,Lac,Étang Redon,Validé,"4",2006/11/22 12:22:15,2021/01/31 22:58:36,,,,,Validé,,faux,,,,,,,
"27",PLANDEAU0000000040207649,06P0000000040207649,Lac,Baisse des Flamants,Validé,"4",2006/11/22 12:22:15,2018/07/02 15:58:07,,,,,Validé,,vrai,,,,,,,
"28",PLANDEAU0000000040207650,06P0000000040207650,Lac,Baisse des Sarcelles,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"29",PLANDEAU0000000040207660,06P0000000040207660,Retenue,Baisse du Deuxième Bois,Validé,"4",2006/11/22 12:22:15,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"30",PLANDEAU0000000040207661,06P0000000040207661,Lac,Baisse du Troisième Bois,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"31",PLANDEAU0000000040207665,06P0000000040207665,Lac,Baisse des Canards,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
